N,Config,E_N,P
1,"1",0.0,
2,"2",0.75000,
3,"3",1.31037,
4,"4",1.83545,
5,"5",2.33845,
6,"1, 5",2.80456,0
7,"1, 6",3.23897,100
8,"1, 7",3.66890,0
9,"2, 7",4.08813,50
10,"2, 8",4.48494,100
11,"3, 8",4.86467,67
12,"3, 9",5.23895,100
13,"4, 9",5.60114,25
14,"4, 10",5.95899,60
15,"5, 10",6.30758,40
16,"1, 5, 10",6.64990,83
17,"1, 6, 10",6.98291,71
18,"1, 6, 11",7.30814,86
19,"1, 6, 12",7.63197,100
20,"1, 7, 12",7.94961,62
21,"1, 7, 13",8.26588,75
22,"2, 8, 12",8.57418,80
23,"2, 8, 13",8.87765,70
24,"3, 8, 13",9.17590,91
